2.339700000E+00	0.000000000E+00	2.802000000E-02
2.339700000E+00	1.000000000E-01	2.785800000E-02
2.339500000E+00	2.000000000E-01	2.768000000E-02
2.339700000E+00	3.000000000E-01	2.748600000E-02
2.339800000E+00	4.000000000E-01	2.728300000E-02
2.339700000E+00	5.000000000E-01	2.708000000E-02
2.339700000E+00	6.000000000E-01	2.688500000E-02
2.339700000E+00	7.000000000E-01	2.670700000E-02
2.339700000E+00	8.000000000E-01	2.655000000E-02
2.339700000E+00	9.000000000E-01	2.641200000E-02
2.339700000E+00	1.000000000E+00	2.629300000E-02
2.565000000E+00	0.000000000E+00	2.783100000E-02
2.565000000E+00	1.000000000E-01	2.767200000E-02
2.564800000E+00	2.000000000E-01	2.749600000E-02
2.565000000E+00	3.000000000E-01	2.730600000E-02
2.565100000E+00	4.000000000E-01	2.710600000E-02
2.565000000E+00	5.000000000E-01	2.690500000E-02
2.565000000E+00	6.000000000E-01	2.671300000E-02
2.565000000E+00	7.000000000E-01	2.653700000E-02
2.565000000E+00	8.000000000E-01	2.638000000E-02
2.565000000E+00	9.000000000E-01	2.624300000E-02
2.565000000E+00	1.000000000E+00	2.612300000E-02
2.808600000E+00	0.000000000E+00	2.764300000E-02
2.808600000E+00	1.000000000E-01	2.748600000E-02
2.808500000E+00	2.000000000E-01	2.731300000E-02
2.808600000E+00	3.000000000E-01	2.712500000E-02
2.808700000E+00	4.000000000E-01	2.692800000E-02
2.808600000E+00	5.000000000E-01	2.673000000E-02
2.808600000E+00	6.000000000E-01	2.654000000E-02
2.808600000E+00	7.000000000E-01	2.636600000E-02
2.808600000E+00	8.000000000E-01	2.621000000E-02
2.808600000E+00	9.000000000E-01	2.607300000E-02
2.808600000E+00	1.000000000E+00	2.595400000E-02
3.071600000E+00	0.000000000E+00	2.745500000E-02
3.071600000E+00	1.000000000E-01	2.730000000E-02
3.071500000E+00	2.000000000E-01	2.713000000E-02
3.071600000E+00	3.000000000E-01	2.694500000E-02
3.071700000E+00	4.000000000E-01	2.675100000E-02
3.071600000E+00	5.000000000E-01	2.655600000E-02
3.071600000E+00	6.000000000E-01	2.636800000E-02
3.071600000E+00	7.000000000E-01	2.619500000E-02
3.071600000E+00	8.000000000E-01	2.604000000E-02
3.071600000E+00	9.000000000E-01	2.590400000E-02
3.071600000E+00	1.000000000E+00	2.578500000E-02
